"Yes","Ja"
"WARNING! SKU is already got from your products, change it only if you are sure that the module is collecting a wrong data.","WARNUNG! SKU ist schon von deinen Produkten erhalten, ändere es nur, wenn du sicher bist, dass das Modul eine falsche Daten sammelt."
"Short description (product name)","Kurzbeschreibung (Produktname)"
"WARNING! SHORT DESCRIPTION is already got from your products, change it only if you are sure that the module is collecting a wrong data.","WARNUNG! KURZE BESCHREIBUNG ist bereits von Ihren Produkten erhalten, ändern Sie es nur, wenn Sie sicher sind, dass das Modul eine falsche Daten sammelt."
"Link","Product link"
"WARNING! PRODUCT LINK is already got from your products, change it only if you are sure that the module is collecting a wrong data.","WARNUNG! PRODUCT LINK ist schon von deinen Produkten erhalten, ändere es nur, wenn du sicher bist, dass das Modul eine falsche Daten sammelt."
"Image link","Product image link"
"WARNING! PRODUCT IMAGE LINK is already got from your products, change it only if you are sure that the module is collecting a wrong data.","WARNUNG! PRODUCT IMAGE LINK ist bereits von Ihren Produkten erhalten, ändern Sie es nur, wenn Sie sicher sind, dass das Modul eine falsche Daten sammelt."
"Brand","Marke"
"Category","Kategorie"
"mpn","mpn"
"gtin_upc","gtin_upc"
"gtin_ean","gtin_ean"
"gtin_jan","gtin_jan"
"gtin_isbn","gtin_isbn"
"Extra Info 1","Zusätzliche Informationen 1"
"Extra Info 2","Zusätzliche Informationen 2"
"Extra Info 3","Zusätzliche Informationen 3"
"Extra Info 4","Zusätzliche Informationen 4"
"Extra Info 5","Zusätzliche Informationen 5"
"Extra Info 6","Zusätzliche Informationen 6"
"Extra Info 7","Zusätzliche Informationen 7"
"Extra Info 8","Zusätzliche Informationen 8"
"Extra Info 9","Zusätzliche Informationen 9"
"Extra Info 10","Zusätzliche Informationen 10"
"No rich-snippets","Keine rich-snippets"
"Rich-snippets using microdata format","Rich-Snippets mit microdata format"
"Store views","Store views"
"Store views title","Store views titel"
"Before all please select the store to export orders.","Bevor alle bitte wählen Sie den Laden, um Aufträge zu exportieren."
"Order status","Bestellstatus"
"Keep all the options unchecked to get orders from all status.","Halten Sie alle Optionen unkontrolliert, um Aufträge aus allen Status zu bekommen."
"From","Von"
"Leave it empty to get orders from the beginning of time.","Lassen Sie es leer, um Aufträge vom Anfang der Zeit zu bekommen."
"To","Bis"
"Leave it empty to use the current date.","Lassen Sie es leer, um das aktuelle Datum zu verwenden."
"Request product reviews?","Produktbewertungen anfordern"
"It add product information to orders.","Es fügt Produktinformationen zu Aufträgen hinzu."
"Export File","Datei exportieren"
"Back","Zurückgehen"
"Reset","Zurücksetzen"
"There are no reviews for this product yet.","Es gibt für dieses Produkt noch keine Bewertung"
"Moderator","Moderators"
"Merchant","Verkäufers"
"Response from","Antwort von"
"Display exchanges","Darstellungsänderung"
"Hide exchanges","Änderungen verbergen"
"Was this review helpful ?","War diese Bewertung hilfreich?"
"Sort reviews","Bewertungen sortieren"
"Newests","Neusten"
"Oldests","Ältesten"
"Highest ratings","Beste Note"
"Lowest ratings","Schlechteste Note"
"Most useful","Am Hilfreichsten"
"An error has occurred.","An error has occurred."
"Thank you, your vote will soon be published.","Thank you, your vote will soon be published."
"Use tiny responsive design in product reviews","Use tiny responsive design in product reviews"
"This will hide the graph filters. Select Yes only if the product reviews are displaying in a small block (for example: 400px).","This will hide the graph filters. Select Yes only if the product reviews are displaying in a small block (for example: 400px)."
"logo_full_en","logo_full_de"﻿
﻿"Reviews subject to control","Bewertung wird geprüft"
"For further information on the nature of the review controls, as well as the possibility of contacting the author of the review please consult our","Um mehr über das Bewertungskontrolverfahren und die Möglichkeit, den Kunden zu kontaktieren, zu erfahren, konsultieren Sie bitte unsere"
"GCU","AGBs"
"No inducements have been provided for these reviews","Es wurde für die Bewertungen keine Gegenleistung erbracht"
"Reviews are published and kept for a period of five years","Die Bewertungen werden veröffentlicht und Fünf Jahre lang Gespeichert"
"Reviews can not be modified: If a customer wishes to modify their review then they can do so by contacting Verified Reviews directly to remove the existing review and publish an amended one","Bewertungen sind nicht modifizierbar, falls der Kunde seine Bewertung ändern will, muss er Echte Bewertungen kontaktieren um seine Bewertung zu löschen und eine neue Bewertung schreiben."
"The reasons for deletion of reviews are available","Die Gründe eine Bewertung zu löschen finden sie"
"here","hier"
"published","veröffentlicht die"
"following an order made on","Nach einer Bestellung vom"
"verified-reviews.com","echte-bewertungen.com"
"Verified-Reviews can only be configured in STORES level, please select in the top-left menu the store that you want to configure.","Echte-Bewertungen kann nur in STORES konfiguriert werden, bitte wählen Sie im oberen linken Menü die Store, die Sie konfigurieren möchten."
"The orders originated from a physical store (Offline orders)","The orders originated from a physical store (Offline orders)"
"Orders are considered to be labelled as Offline, if they have been made in a physical store. If you choose &quot;No&quot; the orders will be considered as online orders. The default value is &quot;No&quot;.","Orders are considered to be labelled as Offline, if they have been made in a physical store. If you choose &quot;No&quot; the orders will be considered as online orders. The default value is &quot;No&quot;."
